author_full,journal,volume,year,pages,publisher,paperid,doi,author,url,type,title,journal_full,issue,page
"Haijun Wu, Cheng Chang, Dan Feng, Yu Xiao, Xiao Zhang, Yanling Pei, Lei Zheng, Di Wu, Shengkai Gong, Yue Chen, Jiaqing He, Mercouri G. Kanatzidis, Li-Dong Zhao,",Energy Environ. Sci.,8,2015,3298-3312,Royal Society of Chemistry (RSC),7979,10.1039/c5ee02423d,"H. Wu, C. Chang, D. Feng, Y. Xiao, X. Zhang, Y. Pei, L. Zheng, D. Wu, S. Gong, Y. Chen, J. He, M. Kanatzidis, L. Zhao,",http://dx.doi.org/10.1039/c5ee02423d,article-journal,Synergistically optimized electrical and thermal transport properties of SnTe via alloying high-solubility MnTe,Energy Environ. Sci.,11,3298
"Weishu Liu, Jiawei Zhou, Qing Jie, Yang Li, Hee Seok Kim, Jiming Bao, Gang Chen, Zhifeng Ren,",Energy Environ. Sci.,9,2016,530-539,Royal Society of Chemistry (RSC),7980,10.1039/c5ee02600h,"W. Liu, J. Zhou, Q. Jie, Y. Li, H. Kim, J. Bao, G. Chen, Z. Ren,",http://dx.doi.org/10.1039/c5ee02600h,article-journal,New insight into the material parameter B to understand the enhanced thermoelectric performance of Mg2Sn1−x−yGexSby,Energy Environ. Sci.,2,530
"Kunling Peng, Xu Lu, Heng Zhan, Si Hui, Xiaodan Tang, Guiwen Wang, Jiyan Dai, Ctirad Uher, Guoyu Wang, Xiaoyuan Zhou,",Energy Environ. Sci.,9,2016,454-460,Royal Society of Chemistry (RSC),7981,10.1039/c5ee03366g,"K. Peng, X. Lu, H. Zhan, S. Hui, X. Tang, G. Wang, J. Dai, C. Uher, G. Wang, X. Zhou,",http://dx.doi.org/10.1039/c5ee03366g,article-journal,Broad temperature plateau for high ZTs in heavily doped p-type SnSe single crystals,Energy Environ. Sci.,2,454
"Jin Young Oh, Ji Hoon Lee, Sun Woong Han, Soo Sang Chae, Eun Jin Bae, Young Hun Kang, Won Jin Choi, Song Yun Cho, Jeong-O Lee, Hong Koo Baik, Tae Il Lee,",Energy Environ. Sci.,9,2016,1696-1705,Royal Society of Chemistry (RSC),7982,10.1039/c5ee03813h,"J. Oh, J. Lee, S. Han, S. Chae, E. Bae, Y. Kang, W. Choi, S. Cho, J. Lee, H. Baik, T. Lee,",http://dx.doi.org/10.1039/c5ee03813h,article-journal,Chemically exfoliated transition metal dichalcogenide nanosheet-based wearable thermoelectric generators,Energy Environ. Sci.,5,1696
"Bo Duan, Jiong Yang, James R. Salvador, Yang He, Bo Zhao, Shanyu Wang, Ping Wei, Fumio S. Ohuchi, Wenqing Zhang, Raphaël P. Hermann, Olivier Gourdon, Scott X. Mao, Yingwen Cheng, Chongmin Wang, Jun Liu, Pengcheng Zhai, Xinfeng Tang, Qingjie Zhang, Jihui Yang,",Energy Environ. Sci.,9,2016,2090-2098,Royal Society of Chemistry (RSC),7983,10.1039/c6ee00322b,"B. Duan, J. Yang, J. Salvador, Y. He, B. Zhao, S. Wang, P. Wei, F. Ohuchi, W. Zhang, R. Hermann, O. Gourdon, S. Mao, Y. Cheng, C. Wang, J. Liu, P. Zhai, X. Tang, Q. Zhang, J. Yang,",http://dx.doi.org/10.1039/c6ee00322b,article-journal,Electronegative guests in CoSb3,Energy Environ. Sci.,6,2090
"Ananya Banik, Badri Vishal, Suresh Perumal, Ranjan Datta, Kanishka Biswas,",Energy Environ. Sci.,9,2016,2011-2019,Royal Society of Chemistry (RSC),7984,10.1039/c6ee00728g,"A. Banik, B. Vishal, S. Perumal, R. Datta, K. Biswas,",http://dx.doi.org/10.1039/c6ee00728g,article-journal,The origin of low thermal conductivity in Sn1−xSbxTe: phonon scattering via layered intergrowth nanostructures,Energy Environ. Sci.,6,2011
"K. Masumoto, S. Isomura,",Energy Conversion,10,1970,129-133,Elsevier BV,7993,10.1016/0013-7480(70)90188-9,"K. Masumoto, S. Isomura,",http://dx.doi.org/10.1016/0013-7480(70)90188-9,article-journal,Physical and electronic properties of semiconducting solid solutions of the Cd3 As2Cd3 P2 system,Energy Conversion,3,129
"Sandra Jimenez, Jose G. Perez, Terry M. Tritt, Song Zhu, Jose L. Sosa-Sanchez, Javier Martinez-Juarez, Osvaldo López,",Energy Conversion and Management,87,2014,868-873,Elsevier BV,8007,10.1016/j.enconman.2014.07.083,"S. Jimenez, J. Perez, T. Tritt, S. Zhu, J. Sosa-Sanchez, J. Martinez-Juarez, O. López,",http://dx.doi.org/10.1016/j.enconman.2014.07.083,article-journal,Synthesis and thermoelectric performance of a p-type Bi0.4Sb1.6Te3 material developed via mechanical alloying,Energy Conversion and Management,,868
"Le Thanh Hung, Ngo Van Nong, G. Jeffrey Snyder, Man Hoang Viet, Benjamin Balke, Li Han, Eugen Stamate, Søren Linderoth, Nini Pryds,",Energy Conversion and Management,99,2015,20-27,Elsevier BV,8011,10.1016/j.enconman.2015.03.112,"L. Hung, N. Van Nong, G. Snyder, M. Viet, B. Balke, L. Han, E. Stamate, S. Linderoth, N. Pryds,",http://dx.doi.org/10.1016/j.enconman.2015.03.112,article-journal,High performance p-type segmented leg of misfit-layered cobaltite and half-Heusler alloy,Energy Conversion and Management,,20
"Chesta Ruttanapun, Wattana Kosalwat, Chalermpol Rudradawong, Phumin Jindajitawat, Prathan Buranasiri, Daengdesh Naenkieng, Narongchai Boonyopakorn, Adul Harnwunggmoung, Warawoot Thowladda, Worakarn Neeyakorn, Chanchana Thanachayanont, Anek Charoenphakdee, Aree Wichainchai,",Energy Procedia,56,2014,65-71,Elsevier BV,8046,10.1016/j.egypro.2014.07.132,"C. Ruttanapun, W. Kosalwat, C. Rudradawong, P. Jindajitawat, P. Buranasiri, D. Naenkieng, N. Boonyopakorn, A. Harnwunggmoung, W. Thowladda, W. Neeyakorn, C. Thanachayanont, A. Charoenphakdee, A. Wichainchai,",http://dx.doi.org/10.1016/j.egypro.2014.07.132,article-journal,Reinvestigation Thermoelectric Properties of CuAlO2,Energy Procedia,,65
"Tosawat Seetawan, Kunchit Singsoog, Suriya Srichai, Chanchana Thanachayanont, Vittaya Amornkitbamrung, Prinya Chindaprasirt,",Energy Procedia,61,2014,1067-1070,Elsevier BV,8047,10.1016/j.egypro.2014.11.1024,"T. Seetawan, K. Singsoog, S. Srichai, C. Thanachayanont, V. Amornkitbamrung, P. Chindaprasirt,",http://dx.doi.org/10.1016/j.egypro.2014.11.1024,article-journal,Thermoelectric Energy Conversion of p–Ca3Co4O9/n–CaMnO3 Module,Energy Procedia,,1067
"S. Ohno, K. Ishida, S. Tahara, T. Okada,",EPJ Web of Conferences,15,2011,,EDP Sciences,8103,10.1051/epjconf/20111501003,"S. Ohno, K. Ishida, S. Tahara, T. Okada,",http://dx.doi.org/10.1051/epjconf/20111501003,article-journal,Electrical properties of molten CuCl-Cu2Se mixtures,EPJ Web of Conferences,,01003
"Stevan Arsenijević, Cedomir Petrovic, László Forró, Ana Akrap,",EPL,103,2013,,IOP Publishing,8108,10.1209/0295-5075/103/57015,"S. Arsenijević, C. Petrovic, L. Forró, A. Akrap,",http://dx.doi.org/10.1209/0295-5075/103/57015,article-journal,Manifestation of the spin textures in the thermopower of MnSi,EPL (Europhysics Letters),5,57015
"Y. M. Xie, Z. R. Yang, Z. T. Zhang, L. H. Yin, X. L. Chen, W. H. Song, Y. P. Sun, S. Q. Zhou, W. Tong, Y. H. Zhang,",EPL,104,2013,,IOP Publishing,8109,10.1209/0295-5075/104/17005,"Y. Xie, Z. Yang, Z. Zhang, L. Yin, X. Chen, W. Song, Y. Sun, S. Zhou, W. Tong, Y. Zhang,",http://dx.doi.org/10.1209/0295-5075/104/17005,article-journal,Magnetic-polaron–induced colossal magnetocapacitance in CdCr2S4,EPL (Europhysics Letters),1,17005
"Appala Naidu Gandi, Udo Schwingenschlögl,",EPL,113,2016,,IOP Publishing,8115,10.1209/0295-5075/113/36002,"A. Gandi, U. Schwingenschlögl,",http://dx.doi.org/10.1209/0295-5075/113/36002,article-journal,Thermal conductivity of bulk and monolayer MoS2,EPL (Europhysics Letters),3,36002
